chstatueboss                       0x801C0110
chstatuebossbits                   0x801C5860
chstinger                          0x801C5860
chstoneballcoach                   0x801C6620
chstoneballcontrol                 0x801ADB90
chstonedartgunhead                 0x80191C00
chstonepillar                      0x801D4420
chsunlightspell                    0x801C5860
chswampplatform                    0x801C5860
chswappy                           0x801C5860
chswitch                           0x80193540
chtalontorpedoboulder              0x801C6620
chtemplebossdoor                   0x801E4790
chtemplebrokendoorpiece            0x801E4790
chtempleinternaldoor               0x801E4790
chtemplelobbydoor                  0x801C6620
chterryegg                         0x801D4420
chterryteeth                       0x801E4790
chtimetable                        0x801C5860
chtiptup                           0x801D4420
chtntblockage                      0x801C6620
chtntbox                           0x801BD0D0
chtntdetonator                     0x801C5860
chtnthut                           0x801C6620
chtntminecelldoor                  0x801E4790
chtntmineshoot                     0x801C0110
chtoothyfish                       0x8019B940
chtorpedo                          0x801C5860
chtoxicroombits                    0x80191C00
chtoxicroomprops                   0x801BD0D0
chtransparencypot                  0x801E4790
chtransparentfish                  0x801A6800
chtrashcangame                     0x801C0110
chtrashcompactor                   0x801BD0D0
chufoextdoor                       0x801E4790
chusefeather                       0x801C6620
chvandoor                          0x801C5860
chvolcanobits                      0x801D4420
chwallsnakebaddy                   0x801C5860
chwandglow                         0x801C6620
chwarppad                          0x801D4420
chwarriorbaddy                     0x801E4790
chwaspnestgame                     0x801C0110
chwaspstatue                       0x801C5860
chwaterfallfx                      0x801C6620
chwaterfallgrill                   0x801C6620
chwaterfallgrillswitch             0x801E4790
chweldarboss                       0x801ADB90
chweldarbossdoors                  0x801C6620
chweldarbossfireball               0x801C6620
chweldarbossfusebox                0x801C5860
chweldarhead                       0x801C5860
chwitchyentrygates                 0x801E4790
chwitchyshockpadswitch             0x801E4790
chworlddoors                       0x801BD0D0
chwumbawigwam                      0x801A6800
chzubba                            0x801E4790
dbanim                             0x801C6620
dbid                               0x801E4790
dblight                            0x801C6620
dbmorph                            0x801C5860
dbpalette                          0x801E4790
